# UDP 패킷 도착 품질 (imu_gap_probe.py — 도착간격 vs ESP 송신간격 대조)
측정,조건,수신율_Hz,끊김이벤트_80ms이상_건/분,도착간격_p50_ms,p99_ms,poll_fail,비고
개선전,PC와이파이 절전ON·정지,32,7.8/초,0(뭉텅이),202,0,~200ms DTIM 버스트
개선후,절전OFF·정지,30.7,0.33건/초→약5건/분,31,121,0,도착=송신 리듬 일치
최종,절전OFF·54Hz·동작중(팔휘저음),57.8,0,18,54,21(0.6%),A2b 합격 — 몸 RF차폐에도 안정
