# 종단지연 실측 (폰 슬로모 240fps, ROI 모션에너지 상호상관, 분석창 400프레임=실1.7초, 피크상관 0.6+ 채택)
측정,영상,조건,기본지연_중앙값_ms,고신뢰범위_ms,큰휘두름_ms,비고
1차(개선전),IMG_4967.mov,32Hz·LPF·20Hz틱,130,103-175,262-292,큰휘두름=속도제한(180°/s)포화 동적지연
2차(2단계후),IMG_4969.mov,32Hz·OneEuro·100Hz틱,113,88-125,-,상한 175→125로 조여짐
3차(쿼터니언후),IMG_4970.mov,54Hz,129,117-148,332-365,2차와 측정오차(±15-20ms)내 동일
