# IMU 정지(책상·사람없음=자세변수0) 5분 yaw 드리프트 — quat yaw unwrap + 최소제곱 기울기
회차,imu1_dpm,imu2_dpm,imu3_dpm,상대yaw_imu1-imu2_dpm(j3관련),상대yaw_imu2-imu3_dpm(j5관련),비고
1회차,-0.03,+0.15,-1.17,-0.18,+1.33,imu3는 240s에 -5.6° 일회성 자기교란 홉 포함
2회차,0.00,0.00,0.00,0.00,0.00,세 IMU 최대편차 0.0° 완전 무드리프트
# 결론: 정지 센서 yaw 드리프트 ≈ 0. 텔레옵 측정 드리프트(j3 -2.35/min 등)는 100% 비-센서(자세재현오차 or 동작 yaw킥)
